unique_key,complaint_type,complaint_description,owning_department,source,status,status_change_date,created_date,last_update_date,close_date,incident_address,street_number,street_name,city,incident_zip,county,state_plane_x_coordinate,state_plane_y_coordinate,latitude,longitude,location,council_district_code,map_page,map_tile
16-00266123,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-10-09 09:04:59 UTC,2016-10-07 10:07:03 UTC,2016-10-09 08:04:18 UTC,2016-10-09 09:04:59 UTC,"11250 TAYLOR DRAPER LN, AUSTIN, TX 78759",11250,TAYLOR DRAPER,AUSTIN,78759,TRAVIS,3110348.5590093,10122382.3570148,30.41023981,-97.75156598,"(30.41023981, -97.75156598)",10,464V,MH34
16-00332601,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-12-28 14:05:05 UTC,2016-12-27 12:50:34 UTC,2016-12-28 14:05:05 UTC,2016-12-28 14:05:05 UTC,"11250 TAYLOR DRAPER LN 1214, AUSTIN, TX 78759",11250,TAYLOR DRAPER,AUSTIN,78759,TRAVIS,3110348.55781804,10122382.3595091,30.41023982,-97.75156598,"(30.41023982, -97.75156598)",10,464V,MH34
14-00063745,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-04-11 14:43:34 UTC,2014-04-09 19:31:40 UTC,2014-04-11 13:45:38 UTC,2014-04-11 14:43:34 UTC,"10708 BULL RIDGE DR, AUSTIN, TX",10708,BULL RIDGE,AUSTIN,78759,TRAVIS,3107619.79262983,10122734.5156763,30.41138168,-97.76019438,"(30.41138168, -97.76019438)",10,464V,MH34
14-00001019,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-01-15 17:54:00 UTC,2014-01-02 15:09:00 UTC,2014-01-15 16:56:00 UTC,2014-01-15 17:54:00 UTC,"10902 GALLERIA CV, AUSTIN, TX",10902,GALLERIA,AUSTIN,78759,TRAVIS,3108258.36324384,10123195.8115235,30.4126091,-97.75813527,"(30.4126091, -97.75813527)",10,464V,MH34
17-00067913,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-03-20 06:43:55 UTC,2017-03-18 11:22:57 UTC,2017-03-20 06:43:55 UTC,2017-03-20 06:43:55 UTC,"11279 TAYLOR DRAPER LN, AUSTIN, TX 78759",11279,TAYLOR DRAPER,AUSTIN,78759,TRAVIS,3110080.74800289,10122922.9994322,30.41174305,-97.75237555,"(30.41174305, -97.75237555)",10,464V,MH34
18-00053631,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-02-25 11:14:24 UTC,2018-02-25 10:36:44 UTC,2018-02-25 11:14:24 UTC,2018-02-25 11:14:24 UTC,"5711 BARKER RIDGE DR, AUSTIN, TX 78759",5711,BARKER RIDGE,AUSTIN,78759,TRAVIS,3108342.75000000,10121824.0,30.40883279,-97.75796837,"(30.40883279, -97.75796837)",10,464V,MH34
14-00074216,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-04-30 10:13:07 UTC,2014-04-22 10:46:03 UTC,2014-04-30 09:15:12 UTC,2014-04-30 10:13:07 UTC,"7301 SPICEWOOD SPRINGS RD, AUSTIN, TX",7301,SPICEWOOD SPRINGS,AUSTIN,78750,TRAVIS,3098167.01000001,10120663.74,30.406287,-97.79032445,"(30.406287, -97.79032445)",10,464W,MG34
14-00159759,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-08-25 20:32:00 UTC,2014-08-01 12:58:00 UTC,2014-08-25 19:34:00 UTC,2014-08-25 20:32:00 UTC,"6994 SPICEWOOD SPRINGS RD, AUSTIN, TX",6994,SPICEWOOD SPRINGS,AUSTIN,78759,TRAVIS,3099907.789,10119396.83,30.40269489,-97.78489585,"(30.40269489, -97.78489585)",10,464W,MG34
17-00080372,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-03-30 15:54:47 UTC,2017-03-30 11:44:39 UTC,2017-03-30 15:54:46 UTC,2017-03-30 15:54:47 UTC,"7301 SPICEWOOD SPRINGS RD, AUSTIN, TX 78750",7301,SPICEWOOD SPRINGS,AUSTIN,78750,TRAVIS,3098167.01311570,10120663.7394498,30.406287,-97.79032444,"(30.406287, -97.79032444)",10,464W,MG34
19-00101951,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-24 14:40:14 UTC,2019-03-23 10:11:10 UTC,2019-03-24 14:40:14 UTC,2019-03-24 14:40:14 UTC,"7301 SPICEWOOD SPRINGS RD, AUSTIN, TX 78750",7301,SPICEWOOD SPRINGS,AUSTIN,78750,TRAVIS,3098164.75474558,10120825.1091626,30.40673073,-97.7903199,"(30.40673073, -97.7903199)",10,464W,MG34
18-00129210,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-05-07 08:08:27 UTC,2018-05-02 16:08:29 UTC,2018-05-07 08:08:27 UTC,2018-05-07 08:08:27 UTC,"7301 SPICEWOOD SPRINGS RD, AUSTIN, TX 78750",7301,SPICEWOOD SPRINGS,AUSTIN,78750,TRAVIS,3098167.01311570,10120663.7394498,30.406287,-97.79032444,"(30.406287, -97.79032444)",10,464W,MG34
14-00042717,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-03-13 14:18:00 UTC,2014-03-12 12:45:00 UTC,2014-03-13 13:20:00 UTC,2014-03-13 14:18:00 UTC,"YAUPON DR & RAINLILLY LN, AUSTIN, TX",,YAUPON DR & RAINLILLY LN,AUSTIN,78759,TRAVIS,3102636.67,10120558.57,30.4057162,-97.77615719,"(30.4057162, -97.77615719)",10,464X,MG34
16-00147864,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-06-15 15:01:36 UTC,2016-06-15 09:07:35 UTC,2016-06-15 14:00:49 UTC,2016-06-15 15:01:36 UTC,"5727 MISTY HILL CV, AUSTIN, TX 78759",5727,MISTY HILL,AUSTIN,78759,TRAVIS,3106976.49765609,10119832.997229,30.40344667,-97.76244732,"(30.40344667, -97.76244732)",10,464Y,MH34
14-00196382,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-17 16:57:45 UTC,2014-09-15 13:23:27 UTC,2014-09-17 15:59:56 UTC,2014-09-17 16:57:45 UTC,"5904 IVY HILLS DR, AUSTIN, TX",5904,IVY HILLS,AUSTIN,78759,TRAVIS,3106733.79148315,10121334.3605887,30.40758915,-97.76310698,"(30.40758915, -97.76310698)",10,464Y,MH34
14-00214502,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-11-12 13:28:30 UTC,2014-10-06 14:52:01 UTC,2014-11-12 12:30:53 UTC,2014-11-12 13:28:30 UTC,"PATHFINDER DR & LOST HORIZON DR, AUSTIN, TX",,PATHFINDER DR & LOST HORIZON DR,AUSTIN,78759,TRAVIS,3104891.75,10120420.0,30.40519256,-97.76901569,"(30.40519256, -97.76901569)",10,464Y,MH34
19-00266564,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-08-19 18:51:09 UTC,2019-07-14 18:30:14 UTC,2019-08-19 18:51:10 UTC,2019-08-19 18:51:09 UTC,"5733 MISTY HILL CV, AUSTIN, TX 78759",5733,MISTY HILL,AUSTIN,78759,TRAVIS,3107353.26582748,10119717.3444287,30.40310481,-97.76126097,"(30.40310481, -97.76126097)",10,464Y,MH34
19-00266586,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Open,2019-07-14 18:50:10 UTC,2019-07-14 18:50:10 UTC,2019-07-15 23:00:05 UTC,,"5732 MISTY HILL CV, AUSTIN, TX 78759",5732,MISTY HILL,AUSTIN,78759,TRAVIS,3106882.24890470,10120037.9996604,30.40401618,-97.76273118,"(30.40401618, -97.76273118)",10,464Y,MH34
19-00292861,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-08-02 12:56:04 UTC,2019-08-01 21:30:55 UTC,2019-08-02 12:56:03 UTC,2019-08-02 12:56:04 UTC,"5732 MISTY HILL CV, AUSTIN, TX 78759",5732,MISTY HILL,AUSTIN,78759,TRAVIS,3106882.24890470,10120037.9996604,30.40401618,-97.76273118,"(30.40401618, -97.76273118)",10,464Y,MH34
19-00292934,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Duplicate (closed),2019-08-02 12:56:04 UTC,2019-08-01 23:42:44 UTC,2019-08-02 12:56:04 UTC,2019-08-02 12:56:04 UTC,"5732 MISTY HILL CV, AUSTIN, TX 78759",5732,MISTY HILL,AUSTIN,78759,TRAVIS,3106882.24890470,10120037.9996604,30.40401618,-97.76273118,"(30.40401618, -97.76273118)",10,464Y,MH34
16-00332610,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-12-27 13:15:51 UTC,2016-12-27 13:00:55 UTC,2016-12-27 13:15:50 UTC,2016-12-27 13:15:51 UTC,"10705 RAINING OAK CV, AUSTIN, 78759",10705,RAINING OAK,AUSTIN,78759,TRAVIS,3109973.24939537,10121529.9979884,30.40792073,-97.75281898,"(30.40792073, -97.75281898)",10,464Z,MH34
14-00080839,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-05-01 13:23:21 UTC,2014-04-30 07:53:35 UTC,2014-05-01 12:25:26 UTC,2014-05-01 13:23:21 UTC,"10610 MORADO CIR, AUSTIN, TX",10610,MORADO,AUSTIN,78759,TRAVIS,3110268.69630221,10119955.6585501,30.40357423,-97.75199788,"(30.40357423, -97.75199788)",10,464Z,MH34
14-00047215,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-03-20 08:23:15 UTC,2014-03-18 10:02:28 UTC,2014-03-20 07:25:18 UTC,2014-03-20 08:23:15 UTC,"10627 FLORAL PARK DR, AUSTIN, TX",10627,FLORAL PARK,AUSTIN,78759,TRAVIS,3108031.5,10121633.0,30.40832757,-97.7589695,"(30.40832757, -97.7589695)",10,464Z,MH34
14-00036787,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-03-08 12:18:00 UTC,2014-03-03 09:18:00 UTC,2014-03-08 11:20:00 UTC,2014-03-08 12:18:00 UTC,"5714 PAINTED VALLEY DR, AUSTIN, TX",5714,PAINTED VALLEY,AUSTIN,78759,TRAVIS,3107896.456,10121484.15,30.40792698,-97.75940871,"(30.40792698, -97.75940871)",10,464Z,MH34
16-00038488,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-02-23 09:19:31 UTC,2016-02-21 07:25:44 UTC,2016-02-23 08:19:19 UTC,2016-02-23 09:19:31 UTC,"10627 MORADO CIR, AUSTIN, TX 78759",10627,MORADO,AUSTIN,78759,TRAVIS,3110330.95131293,10120284.3518284,30.4044738,-97.75177626,"(30.4044738, -97.75177626)",10,464Z,MH34
17-00185467,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2017-07-02 13:31:18 UTC,2017-07-02 13:31:18 UTC,2017-07-02 13:31:18 UTC,,"10610 MORADO CIR, AUSTIN, TX 78759",10610,MORADO,AUSTIN,78759,TRAVIS,3110163.25000000,10120074.0,30.40390627,-97.75232357,"(30.40390627, -97.75232357)",10,464Z,MH34
17-00259749,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-09-04 16:26:28 UTC,2017-09-03 13:55:00 UTC,2017-09-04 16:26:28 UTC,2017-09-04 16:26:28 UTC,"10610 MORADO CIR, AUSTIN, TX 78759",10610,MORADO,AUSTIN,78759,TRAVIS,3110163.25000000,10120074.0,30.40390627,-97.75232357,"(30.40390627, -97.75232357)",10,464Z,MH34
19-00175590,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-07-16 15:39:09 UTC,2019-05-14 11:03:26 UTC,2019-07-16 15:39:09 UTC,2019-07-16 15:39:09 UTC,"10702 FLORAL PARK DR, AUSTIN, TX 78759",10702,FLORAL PARK,AUSTIN,78759,TRAVIS,3109756.12711538,10121447.3734798,30.40770745,-97.75351365,"(30.40770745, -97.75351365)",10,464Z,MH34
19-00209729,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-07-16 16:21:57 UTC,2019-06-06 13:50:42 UTC,2019-07-16 16:21:57 UTC,2019-07-16 16:21:57 UTC,"5703 RAIN CREEK PKWY, AUSTIN, TX 78759",5703,RAIN CREEK,AUSTIN,78759,TRAVIS,3107928.96802435,10120296.6372483,30.4046606,-97.75939276,"(30.4046606, -97.75939276)",10,464Z,MH34
19-00209728,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-07-16 16:24:10 UTC,2019-06-06 13:49:53 UTC,2019-07-16 16:24:10 UTC,2019-07-16 16:24:10 UTC,"5703 RAIN CREEK PKWY, AUSTIN, TX 78759",5703,RAIN CREEK,AUSTIN,78759,TRAVIS,3107928.96802435,10120296.6372483,30.4046606,-97.75939276,"(30.4046606, -97.75939276)",10,464Z,MH34
16-00207794,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-08-13 12:51:22 UTC,2016-08-12 07:14:50 UTC,2016-08-13 11:53:44 UTC,2016-08-13 12:51:22 UTC,"12713 COVINGTON TRL, AUSTIN, TX 78727",12713,COVINGTON,AUSTIN,78727,TRAVIS,3112961.74937162,10131422.9981867,30.43492429,-97.74261044,"(30.43492429, -97.74261044)",6,465A,MJ36
16-00207806,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-08-13 13:15:20 UTC,2016-08-12 07:35:06 UTC,2016-08-13 12:17:42 UTC,2016-08-13 13:15:20 UTC,"6204 AVERY ISLAND AVE, AUSTIN, TX 78727",6204,AVERY ISLAND,AUSTIN,78727,TRAVIS,3111211.74782571,10132186.9983797,30.43713636,-97.74810562,"(30.43713636, -97.74810562)",6,465A,MJ36
14-00179472,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-01 08:22:11 UTC,2014-08-25 09:08:04 UTC,2014-09-01 07:24:21 UTC,2014-09-01 08:22:11 UTC,"12702 COVINGTON TRL, AUSTIN, TX",12702,COVINGTON,AUSTIN,78727,TRAVIS,3112980.52180675,10131660.232199,30.43557522,-97.74253336,"(30.43557522, -97.74253336)",6,465A,MJ36
14-00192461,ACLONAG,Loose Dog,Animal Services Office,Phone,Duplicate (closed),2014-09-10 08:36:07 UTC,2014-09-10 08:36:07 UTC,2014-09-10 10:19:38 UTC,2014-09-10 08:36:07 UTC,"12911 COVINGTON TRL, AUSTIN, TX",12911,COVINGTON,AUSTIN,78727,TRAVIS,3113713.08679861,10132113.2462829,30.43677356,-97.74017593,"(30.43677356, -97.74017593)",6,465A,MJ36
14-00192250,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-10 11:17:26 UTC,2014-09-09 19:30:38 UTC,2014-09-10 10:19:37 UTC,2014-09-10 11:17:26 UTC,"12911 COVINGTON TRL, AUSTIN, TX",12911,COVINGTON,AUSTIN,78727,TRAVIS,3113713.08679861,10132113.2462829,30.43677356,-97.74017593,"(30.43677356, -97.74017593)",6,465A,MJ36
14-00193673,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-11 18:57:59 UTC,2014-09-11 17:04:58 UTC,2014-09-11 18:00:09 UTC,2014-09-11 18:57:59 UTC,"12911 COVINGTON TRL, AUSTIN, TX",12911,COVINGTON,AUSTIN,78727,TRAVIS,3113713.08679861,10132113.2462829,30.43677356,-97.74017593,"(30.43677356, -97.74017593)",6,465A,MJ36
14-00210568,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-10-03 13:32:28 UTC,2014-10-01 17:06:32 UTC,2014-10-03 12:34:42 UTC,2014-10-03 13:32:28 UTC,"AVERY ISLAND AVE & COVINGTON TRL, AUSTIN, TX",,AVERY ISLAND AVE & COVINGTON TRL,AUSTIN,78727,TRAVIS,3112677.17,10131108.13,30.43407698,-97.74353647,"(30.43407698, -97.74353647)",6,465A,MJ36
14-00251734,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-11-29 11:37:57 UTC,2014-11-22 08:15:05 UTC,2014-11-29 10:40:23 UTC,2014-11-29 11:37:57 UTC,"5704 AVERY ISLAND AVE, AUSTIN, TX",5704,AVERY ISLAND,AUSTIN,78727,TRAVIS,3113075.55665643,10130850.555561,30.43334344,-97.74229172,"(30.43334344, -97.74229172)",6,465A,MJ36
15-00055065,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-03-25 08:31:51 UTC,2015-03-21 12:55:12 UTC,2015-03-25 07:34:43 UTC,2015-03-25 08:31:51 UTC,"12825 CARRERA DR, AUSTIN, TX",12825,CARRERA,AUSTIN,78727,TRAVIS,3112826.20919891,10132184.033649,30.43702496,-97.74298418,"(30.43702496, -97.74298418)",6,465A,MJ36
15-00222365,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2015-09-18 08:45:20 UTC,2015-09-17 11:38:17 UTC,2015-09-18 07:45:20 UTC,2015-09-18 08:45:20 UTC,"COVINGTON TRL & CORIDAN DR, AUSTIN, TX 78727",,COVINGTON TRL & CORIDAN DR,AUSTIN,78727,TRAVIS,3113198.238,10131898.28,30.43621563,-97.7418251,"(30.43621563, -97.7418251)",6,465A,MJ36
15-00221778,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-09-17 09:57:30 UTC,2015-09-16 16:14:03 UTC,2015-09-17 08:57:30 UTC,2015-09-17 09:57:30 UTC,"COVINGTON TRL & AVERY ISLAND AVE, AUSTIN, TX 78727",,COVINGTON TRL & AVERY ISLAND AVE,AUSTIN,78727,TRAVIS,3112677.167,10131108.13,30.43407698,-97.74353647,"(30.43407698, -97.74353647)",6,465A,MJ36
15-00248798,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-10-20 14:10:57 UTC,2015-10-18 12:24:44 UTC,2015-10-20 13:10:54 UTC,2015-10-20 14:10:57 UTC,"12903 QUINN TRL, AUSTIN, TX 78727",12903,QUINN,AUSTIN,78727,TRAVIS,3113430.12638717,10132123.9697109,30.43682117,-97.74107279,"(30.43682117, -97.74107279)",6,465A,MJ36
17-00186519,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-07-19 15:32:12 UTC,2017-07-03 14:05:02 UTC,2017-07-19 14:32:18 UTC,2017-07-19 15:32:12 UTC,"12807 COVINGTON TRL, AUSTIN, TX 78727",12807,COVINGTON,AUSTIN,78727,TRAVIS,3113226.24929741,10131816.9969894,30.4359904,-97.74174225,"(30.4359904, -97.74174225)",6,465A,MJ36
17-00290816,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-09-29 15:02:43 UTC,2017-09-29 14:07:37 UTC,2017-09-29 15:02:43 UTC,2017-09-29 15:02:43 UTC,"5705 DIEHL TRL, AUSTIN, TX 78727",5705,DIEHL,AUSTIN,78727,TRAVIS,3113255.63816602,10131471.3772976,30.43503846,-97.74167456,"(30.43503846, -97.74167456)",6,465A,MJ36
17-00381902,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-12-29 09:40:54 UTC,2017-12-27 14:12:03 UTC,2017-12-29 09:40:53 UTC,2017-12-29 09:40:54 UTC,"AVERY ISLAND AVE & BATON ROUGE DR, AUSTIN, TX 78727",,AVERY ISLAND AVE & BATON ROUGE DR,austin,78727,TRAVIS,3111598.84748802,10131866.2888072,30.43623004,-97.74690126,"(30.43623004, -97.74690126)",6,465A,MJ36
17-00381944,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-12-27 15:51:58 UTC,2017-12-27 15:12:33 UTC,2017-12-27 15:51:58 UTC,2017-12-27 15:51:58 UTC,"6006 BATON ROUGE DR, AUSTIN, TX 78727",6006,BATON ROUGE,AUSTIN,78727,TRAVIS,3111850.74723903,10132218.998008,30.43718348,-97.74607612,"(30.43718348, -97.74607612)",6,465A,MJ36
18-00249796,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2018-08-01 10:01:42 UTC,2018-08-01 10:01:42 UTC,2018-08-01 10:01:42 UTC,,"SHREVEPORT DR & HEINEMANN DR, AUSTIN, TX 78727",,SHREVEPORT DR & HEINEMANN DR,AUSTIN,78727,TRAVIS,3112486.20987292,10132339.5187285,30.43747413,-97.7440513,"(30.43747413, -97.7440513)",6,465A,MJ36
18-00102763,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-04-10 11:44:38 UTC,2018-04-10 10:40:19 UTC,2018-04-10 11:44:38 UTC,2018-04-10 11:44:38 UTC,"12828 CARRERA DR, AUSTIN, TX 78727",12828,CARRERA,AUSTIN,78727,TRAVIS,3112693.99808879,10132343.9987877,30.43747314,-97.74339179,"(30.43747314, -97.74339179)",6,465A,MJ36
19-00042880,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-02-06 13:55:38 UTC,2019-02-06 11:56:20 UTC,2019-02-06 13:55:38 UTC,2019-02-06 13:55:38 UTC,"CARRERA DR & SHREVEPORT DR, AUSTIN, TX",,CARRERA DR & SHREVEPORT DR,AUSTIN,78727,TRAVIS,3112751.91693436,10132426.1283963,30.4376952,-97.74320198,"(30.4376952, -97.74320198)",6,465A,MJ36
16-00109298,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-08 12:52:40 UTC,2016-05-08 09:50:44 UTC,2016-05-08 11:50:00 UTC,2016-05-08 12:52:40 UTC,"RIATA TRACE PKWY & RIATA VISTA CIR, AUSTIN, TX 78727",,RIATA TRACE PKWY & RIATA VISTA CIR,AUSTIN,78727,TRAVIS,3114230.99705271,10130390.9997624,30.43200614,-97.7386604,"(30.43200614, -97.7386604)",6,465B,MJ36
16-00109306,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-09 13:31:43 UTC,2016-05-08 10:14:37 UTC,2016-05-09 12:29:03 UTC,2016-05-09 13:31:43 UTC,"13012 GARFIELD LN, AUSTIN, TX 78727",13012,GARFIELD,AUSTIN,78727,TRAVIS,3113903.99951463,10132408.9995396,30.43757431,-97.73954841,"(30.43757431, -97.73954841)",6,465B,MJ36
16-00121835,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-20 17:42:37 UTC,2016-05-20 14:46:54 UTC,2016-05-20 16:40:48 UTC,2016-05-20 17:42:37 UTC,"12535 RIATA VISTA CIR 1, AUSTIN, TX 78727",12535,RIATA VISTA,AUSTIN,78727,TRAVIS,3115395.63842255,10130474.829387,30.43216184,-97.73495973,"(30.43216184, -97.73495973)",6,465B,MJ36
14-00195179,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-14 10:42:52 UTC,2014-09-13 15:53:08 UTC,2014-09-14 09:45:03 UTC,2014-09-14 10:42:52 UTC,"ODIE LN & SHREVEPORT DR, AUSTIN, TX",,ODIE LN & SHREVEPORT DR,AUSTIN,78727,TRAVIS,3114561.75,10132347.0,30.4373617,-97.73746637,"(30.4373617, -97.73746637)",6,465B,MJ36
16-00027406,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2016-02-06 10:34:00 UTC,2016-02-06 10:34:00 UTC,2016-02-06 10:34:00 UTC,,"5400 W PARMER LN 1030, TRAVIS, TX 78727",5400,PARMER,TRAVIS,78727,TRAVIS,3115768.039,10131998.5,30.43632626,-97.73366543,"(30.43632626, -97.73366543)",6,465B,MJ36
16-00088107,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2016-04-17 08:23:10 UTC,2016-04-17 08:23:10 UTC,2016-04-17 08:23:10 UTC,,"5505 W PARMER LN, AUSTIN, TX 78727",5505,PARMER,AUSTIN,78727,TRAVIS,3115570.28709014,10131841.417637,30.43590718,-97.73430441,"(30.43590718, -97.73430441)",6,465B,MJ36
16-00075712,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-04-06 17:16:01 UTC,2016-04-03 11:54:16 UTC,2016-04-06 16:14:29 UTC,2016-04-06 17:16:01 UTC,"12906 ODIE LN, AUSTIN, TX 78727",12906,ODIE,AUSTIN,78727,TRAVIS,3114297.24818213,10132120.999892,30.43675742,-97.7383222,"(30.43675742, -97.7383222)",6,465B,MJ36
16-00079638,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-04-09 07:52:30 UTC,2016-04-07 16:15:13 UTC,2016-04-09 06:50:58 UTC,2016-04-09 07:52:30 UTC,"ODIE LN & GARFIELD LN, AUSTIN, TX 78727",,ODIE LN & GARFIELD LN,AUSTIN,78727,TRAVIS,3114396.70860349,10132127.5689037,30.4367691,-97.73800619,"(30.4367691, -97.73800619)",6,465B,MJ36
16-00102189,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-04 11:58:43 UTC,2016-05-01 12:06:58 UTC,2016-05-04 10:56:06 UTC,2016-05-04 11:58:43 UTC,"13021 LEGENDARY DR, AUSTIN, TX 78727",13021,LEGENDARY,AUSTIN,78727,TRAVIS,3116805.95999999,10131649.12,30.43529914,-97.73039875,"(30.43529914, -97.73039875)",6,465B,MJ36
16-00103569,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-04 11:58:42 UTC,2016-05-02 16:30:07 UTC,2016-05-04 10:56:04 UTC,2016-05-04 11:58:42 UTC,"13021 LEGENDARY DR 10, AUSTIN, TX 78727",13021,LEGENDARY,AUSTIN,78727,TRAVIS,3116694.92879672,10131670.1887746,30.4353642,-97.73074941,"(30.4353642, -97.73074941)",6,465B,MJ36
16-00102865,ACLONAG,Loose Dog,Animal Services Office,Phone,Duplicate (closed),2016-05-02 09:09:45 UTC,2016-05-02 09:09:45 UTC,2016-05-04 10:56:06 UTC,2016-05-02 09:09:45 UTC,"13021 LEGENDARY DR, AUSTIN, TX 78727",13021,LEGENDARY,AUSTIN,78727,TRAVIS,3116805.95999999,10131649.12,30.43529914,-97.73039875,"(30.43529914, -97.73039875)",6,465B,MJ36
16-00102929,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Duplicate (closed),2016-05-02 09:46:53 UTC,2016-05-02 09:46:53 UTC,2016-05-04 10:56:07 UTC,2016-05-02 09:46:53 UTC,"13021 LEGENDARY DR, AUSTIN, TX 78727",13021,LEGENDARY,AUSTIN,78727,TRAVIS,3116805.95999999,10131649.12,30.43529914,-97.73039875,"(30.43529914, -97.73039875)",6,465B,MJ36
17-00097064,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2017-04-15 14:08:52 UTC,2017-04-15 14:08:52 UTC,2017-04-15 14:10:14 UTC,,"5400 W PARMER LN, AUSTIN, TX 78727",5400,PARMER,AUSTIN,78727,TRAVIS,3115768.03748203,10131998.4979673,30.43632627,-97.73366544,"(30.43632627, -97.73366544)",6,465B,MJ36
18-00444729,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-01-01 15:34:53 UTC,2018-12-31 18:06:41 UTC,2019-01-01 15:34:53 UTC,2019-01-01 15:34:53 UTC,"ODIE LN & GARFIELD LN, AUSTIN, TX",,ODIE LN & GARFIELD LN,Austin,78727,TRAVIS,3114396.70853373,10132127.5680025,30.4367691,-97.73800619,"(30.4367691, -97.73800619)",6,465B,MJ36
17-00199631,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-07-13 12:07:47 UTC,2017-07-13 10:21:20 UTC,2017-07-13 12:07:47 UTC,2017-07-13 12:07:47 UTC,"RIATA VISTA CIR & W PARMER LN, AUSTIN, TX 78749",,RIATA VISTA CIR & W PARMER LN,AUSTIN,78727,TRAVIS,3115036.11922793,10132334.0998609,30.43729579,-97.73596246,"(30.43729579, -97.73596246)",6,465B,MJ36
18-00356481,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-10-21 14:38:00 UTC,2018-10-20 10:06:00 UTC,2018-10-21 14:38:00 UTC,2018-10-21 14:38:00 UTC,"5400 W PARMER LN, AUSTIN, TX 78727",5400,PARMER,AUSTIN,78727,TRAVIS,3115768.037,10131998.5,30.43632627,-97.73366544,"(30.43632627, -97.73366544)",6,465B,MJ36
